年月,メーカー,件数,登録台数
2023-03,ホンダ,898,32644.0
2023-03,マツダ,191,19828.0
2023-03,三菱,36,6016.0
2023-03,日産,404,34481.0
2023-03,輸入車,82,35693.0
2023-03,ＳＵＢＡＲＵ,8,10373.0
2023-04,スズキ,1005,9015.0
2023-04,ダイハツ,816,2889.0
2023-04,トヨタ,729,120151.0
2023-04,ホンダ,507,15535.0
2023-04,マツダ,100,11255.0
2023-04,三菱,19,3745.0
2023-04,日産,204,21033.0
2023-04,輸入車,48,20040.0
2023-04,ＳＵＢＡＲＵ,4,6143.0
2023-05,スズキ,1064,8236.0
2023-05,ダイハツ,971,1704.0
2023-05,トヨタ,615,111602.0
2023-05,ホンダ,506,15763.0
2023-05,マツダ,74,8004.0
2023-05,三菱,14,2893.0
2023-05,日産,192,19783.0
2023-05,輸入車,27,23194.0
2023-05,ＳＵＢＡＲＵ,23,5008.0
2023-06,スズキ,1087,9279.0
2023-06,ダイハツ,619,972.0
2023-06,トヨタ,573,136653.0
2023-06,ホンダ,459,21065.0
2023-06,マツダ,83,12096.0
2023-06,三菱,12,3980.0
2023-06,日産,211,25714.0
2023-06,輸入車,20,29677.0
2023-06,ＳＵＢＡＲＵ,11,6434.0
2023-07,スズキ,1246,9301.0
2023-07,ダイハツ,619,1000.0
2023-07,トヨタ,700,137194.0
2023-07,ホンダ,534,23552.0
2023-07,マツダ,86,10787.0
2023-07,三菱,20,3460.0
2023-07,日産,239,24585.0
2023-07,輸入車,25,23527.0
2023-07,ＳＵＢＡＲＵ,19,7248.0
2023-08,スズキ,874,8009.0
2023-08,ダイハツ,679,1617.0
2023-08,トヨタ,422,116166.0
2023-08,ホンダ,395,17873.0
2023-08,マツダ,55,8860.0
2023-08,三菱,25,2853.0
2023-08,日産,162,17980.0
2023-08,輸入車,26,21403.0
2023-08,ＳＵＢＡＲＵ,11,5470.0
2023-09,スズキ,1258,10394.0
2023-09,ダイハツ,840,3020.0
2023-09,トヨタ,616,138988.0
2023-09,ホンダ,438,25524.0
2023-09,マツダ,93,7589.0
2023-09,三菱,19,4568.0
2023-09,日産,245,26566.0
2023-09,輸入車,38,33092.0
2023-09,ＳＵＢＡＲＵ,11,8175.0
2023-10,スズキ,1265,9397.0
2023-10,ダイハツ,996,2421.0
2023-10,トヨタ,556,129000.0
2023-10,ホンダ,420,27337.0
2023-10,マツダ,91,10809.0
2023-10,三菱,39,3527.0
2023-10,日産,170,20187.0
2023-10,輸入車,24,21692.0
