DATE,PX_LAST,YLD_YTM_MYLD,YTM_BID
2018/06/06,-0.136,-0.136,-0.1093
2018/06/07,-0.131,-0.1308,-0.1084
2018/06/08,-0.128,-0.1276,-0.1054
2018/06/13,-0.134,-0.1335,-0.1333
2018/06/14,-0.131,-0.131,-0.1308
2018/06/20,-0.136,-0.1362,-0.136
2018/06/21,-0.14,-0.1402,-0.1401
2018/06/22,-0.144,-0.1437,-0.1435
2018/06/27,-0.145,-0.1453,-0.1451
2018/06/28,-0.143,-0.1425,-0.1423
2018/06/29,-0.143,-0.1427,-0.1425
2018/07/02,-0.135,-0.1345,-0.0878
2018/07/03,-0.136,-0.1355,-0.0887
2018/07/04,-0.141,-0.1411,-0.1022
2018/07/05,-0.14,-0.1401,-0.1178
2018/07/06,-0.141,-0.1405,-0.1138
2018/07/09,-0.144,-0.144,-0.103
2018/07/10,-0.145,-0.1452,-0.104
2018/07/11,-0.145,-0.1453,-0.1131
2018/07/12,-0.147,-0.1471,-0.1203
2018/07/13,-0.149,-0.1485,-0.1218
2018/07/17,-0.151,-0.1505,-0.1086
2018/07/18,-0.153,-0.1526,-0.1115
2018/07/19,-0.154,-0.1537,-0.1003
2018/07/20,-0.157,-0.157,-0.1128
2018/07/23,-0.148,-0.1482,-0.1
2018/07/24,-0.151,-0.1514,-0.1032
2018/07/25,-0.16,-0.1596,-0.1114
2018/07/26,-0.157,-0.1571,-0.1103
2018/07/27,-0.156,-0.156,-0.1092
2018/07/30,-0.193,-0.1931,-0.1386
2018/07/31,-0.191,-0.1912,-0.1365
2018/08/01,-0.177,-0.177,-0.1302
2018/08/02,-0.167,-0.1673,-0.1206
2018/08/03,-0.166,-0.1659,-0.1192
2018/08/06,-0.194,-0.1939,-0.1225
2018/08/07,-0.193,-0.1931,-0.1217
2018/08/08,-0.153,-0.1531,-0.1064
2018/08/09,-0.152,-0.1515,-0.1126
2018/08/10,-0.162,-0.1619,-0.1314
2018/08/13,-0.164,-0.1636,-0.1169
2018/08/14,-0.163,-0.1631,-0.1164
2018/08/15,-0.162,-0.1624,-0.1155
2018/08/16,-0.157,-0.1574,-0.1105
2018/08/17,-0.155,-0.1548,-0.1081
2018/08/20,-0.156,-0.1557,-0.1088
2018/08/21,-0.155,-0.1551,-0.1084
2018/08/22,-0.155,-0.1548,-0.1081
2018/08/23,-0.155,-0.1547,-0.108
2018/08/24,-0.163,-0.1625,-0.1158
2018/08/27,-0.133,-0.1334,-0.076
2018/08/28,-0.141,-0.1406,-0.0861
2018/08/29,-0.167,-0.167,-0.1124
2018/08/30,-0.146,-0.1458,-0.0912
2018/08/31,-0.14,-0.1398,-0.085
2018/09/03,-0.149,-0.149,-0.1023
2018/09/04,-0.132,-0.1321,-0.0853
2018/09/05,-0.132,-0.1319,-0.0851
2018/09/06,-0.148,-0.1483,-0.1016
2018/09/07,-0.144,-0.1437,-0.0969
2018/09/10,-0.113,-0.1134,-0.0666
2018/09/11,-0.113,-0.1129,-0.0663
2018/09/12,-0.113,-0.1128,-0.0661
2018/09/13,-0.128,-0.1284,-0.0817
2018/09/14,-0.128,-0.1275,-0.0807
2018/09/18,-0.131,-0.1306,-0.0705
2018/09/20,-0.134,-0.1336,-0.1334
2018/09/21,-0.135,-0.1347,-0.1345
2018/09/25,-0.135,-0.1352,-0.0887
2018/09/26,-0.135,-0.1349,-0.0758
2018/09/27,-0.135,-0.1352,-0.0952
2018/09/28,-0.136,-0.1364,-0.103
2018/10/01,-0.246,-0.2458,-0.1811
2018/10/02,-0.316,-0.3164,-0.2557
2018/10/03,-0.277,-0.277,-0.2163
2018/10/04,-0.282,-0.2819,-0.278
2018/10/05,-0.299,-0.2994,-0.2981
2018/10/11,-0.318,-0.3184,-0.3182
2018/10/12,-0.318,-0.3181,-0.3179
2018/10/16,-0.325,-0.3249,-0.2648
2018/10/17,-0.326,-0.3256,-0.2656
2018/10/18,-0.291,-0.2908,-0.2308
2018/10/19,-0.277,-0.2771,-0.2171
2018/10/22,-0.32,-0.32,-0.2599
2018/10/23,-0.285,-0.2848,-0.2248
2018/10/24,-0.329,-0.3292,-0.2692
2018/10/25,-0.336,-0.3361,-0.276
2018/10/26,-0.31,-0.3096,-0.3094
2018/10/30,-0.354,-0.3542,-0.2942
2018/10/31,-0.354,-0.3541,-0.2942
2018/11/01,-0.355,-0.3554,-0.2954
2018/11/02,-0.352,-0.3518,-0.2918
2018/11/07,-0.297,-0.2966,-0.2965
2018/11/08,-0.286,-0.2858,-0.2856
2018/11/09,-0.284,-0.2842,-0.2787
2018/11/14,-0.244,-0.2444,-0.2442
2018/11/15,-0.245,-0.2446,-0.2444
2018/11/16,-0.28,-0.2804,-0.2802
2018/11/19,-0.32,-0.3198,-0.2531
2018/11/20,-0.353,-0.3532,-0.2865
2018/11/21,-0.318,-0.3177,-0.2621
2018/11/22,-0.341,-0.341,-0.285
2018/11/26,-0.326,-0.3255,-0.2695
2018/11/27,-0.286,-0.2861,-0.23
2018/11/28,-0.319,-0.3192,-0.2632
2018/11/29,-0.282,-0.2821,-0.2261
2018/11/30,-0.196,-0.1961,-0.1495
2018/12/03,-0.17,-0.1697,-0.1071
2018/12/04,-0.193,-0.1932,-0.1297
2018/12/05,-0.201,-0.2006,-0.1379
2018/12/06,-0.228,-0.2281,-0.1654
2018/12/07,-0.203,-0.2027,-0.1505
2018/12/10,-0.228,-0.2276,-0.164
2018/12/11,-0.225,-0.2249,-0.1613
2018/12/12,-0.238,-0.2376,-0.174
2018/12/13,-0.238,-0.2376,-0.174
2018/12/14,-0.27,-0.2701,-0.2066
2018/12/17,-0.285,-0.2848,-0.2175
2018/12/18,-0.273,-0.2734,-0.2174
2018/12/19,-0.297,-0.2968,-0.2408
2018/12/20,-0.293,-0.2928,-0.2368
2018/12/21,-0.225,-0.2254,-0.1694
2018/12/25,-0.179,-0.179,-0.1153
2018/12/26,-0.17,-0.1697,-0.106
2018/12/27,-0.158,-0.1576,-0.094
2018/12/28,-0.15,-0.1497,-0.0862
2019/01/04,-0.185,-0.1847,-0.1212
2019/01/07,-0.187,-0.1866,-0.1232
2019/01/08,-0.166,-0.1663,-0.1138
2019/01/09,-0.146,-0.1461,-0.1113
2019/01/10,-0.156,-0.1564,-0.0926
2019/01/11,-0.166,-0.166,-0.1078
2019/01/15,-0.169,-0.1688,-0.1128
2019/01/16,-0.176,-0.1759,-0.1198
2019/01/17,-0.177,-0.177,-0.121
2019/01/18,-0.202,-0.2015,-0.1453
2019/01/21,-0.295,-0.295,-0.2322
2019/01/22,-0.195,-0.1946,-0.1898
2019/01/23,-0.195,-0.1949,-0.1901
2019/01/24,-0.194,-0.1938,-0.1891
2019/01/25,-0.208,-0.2076,-0.2028
2019/01/30,-0.261,-0.2607,-0.2605
2019/01/31,-0.252,-0.2523,-0.2521
2019/02/01,-0.266,-0.2655,-0.2653
2019/02/04,-0.269,-0.2692,-0.2056
2019/02/05,-0.268,-0.2679,-0.2042
2019/02/06,-0.261,-0.2609,-0.1972
2019/02/07,-0.251,-0.2509,-0.1999
2019/02/08,-0.255,-0.2546,-0.2513
2019/02/12,-0.228,-0.2278,-0.2277
2019/02/13,-0.228,-0.2279,-0.2233
2019/02/14,-0.219,-0.2187,-0.2143
2019/02/15,-0.219,-0.2191,-0.2146
2019/02/18,-0.206,-0.2059,-0.1484
2019/02/19,-0.208,-0.2079,-0.1569
2019/02/20,-0.208,-0.2075,-0.1565
2019/02/21,-0.208,-0.2075,-0.1566
2019/02/22,-0.208,-0.2081,-0.1572
2019/02/25,-0.21,-0.2096,-0.1584
2019/02/26,-0.203,-0.2034,-0.1524
2019/02/27,-0.192,-0.1917,-0.1407
2019/02/28,-0.193,-0.1934,-0.1511
2019/03/01,-0.187,-0.1871,-0.1362
