,MKT_RF,SMB,HML,RF_US,JPY_USD,JPY_YIELD,FX_RETURN,JPY_YIELD_MONTHLY,MARKET_RETURN,MARKET_RETURN_FX_ADJUSTED,MKT_RF_JPY,SMB_JPY,HML_JPY,RF_JPY,TOPIX_RETURN
2015-10-31,0.0187999999999999,-0.0043,-0.0044,0.0,120.74,-0.0002319999999999,0.0059151878696992,-1.933538941589763e-05,0.0187999999999999,0.0189112055319503,0.0189305409213662,-0.0043254353078397,-0.0044260268266266,-1.933538941589763e-05,0.10419790344874835
2015-10-31,-0.0042,0.002,-0.0056999999999999,0.0,120.74,-1.2e-05,0.0,-1.0000055000736197e-06,-0.0042,-0.0042,-0.0041989999944999,0.002,-0.0056999999999999,-1.0000055000736197e-06,0.10419790344874835
2015-11-30,-0.0042,0.002,-0.0056999999999999,0.0,122.83,-1.2e-05,0.0173099221467616,-1.0000055000736197e-06,-0.0042,-0.0042727016730163,-0.0042717016675163,0.0020346198442935,-0.0057986665562365,-1.0000055000736197e-06,0.014150975175902136
2015-11-30,-0.0048,0.0012,0.0067,0.0,122.83,-0.000692,0.0,-5.768496470137663e-05,-0.0048,-0.0048,-0.0047423150352986,0.0012,0.0067,-5.768496470137663e-05,0.014150975175902136
2015-12-31,-0.0048,0.0012,0.0067,0.0,120.42,-0.000692,-0.0196206138565496,-5.768496470137663e-05,-0.0048,-0.0047058210534885,-0.0046481360887871,0.0011764552633721,0.0065685418871611,-5.768496470137663e-05,-0.020851100251147003
2015-12-31,-0.0092,-0.0024,0.0023,0.0,120.42,-0.000347,0.0,-2.8921266641335208e-05,-0.0092,-0.0092,-0.0091710787333586,-0.0024,0.0023,-2.8921266641335208e-05,-0.020851100251147003
2016-01-31,-0.0092,-0.0024,0.0023,0.0,120.63,-0.000347,0.0017438963627303,-2.8921266641335208e-05,-0.0092,-0.0092160438465371,-0.0091871225798957,-0.0024041853512705,0.0023040109616342,-2.8921266641335208e-05,-0.0744717242310785
2016-01-31,0.0256999999999999,0.0048,0.0042,0.0,120.63,-0.000316,0.0,-2.6337148047894665e-05,0.0256999999999999,0.0256999999999999,0.0257263371480478,0.0048,0.0042,-2.6337148047894665e-05,-0.0744717242310785
2016-02-29,0.0256999999999999,0.0048,0.0042,0.0,112.99,-0.000316,-0.0633341623145155,-2.6337148047894665e-05,0.0256999999999999,0.0240723120285169,0.0240986491765648,0.0044959960208903,0.003933996518279,-2.6337148047894665e-05,-0.09372445183346712
2016-02-29,-0.0069,0.0065,0.0025,1e-05,112.99,-0.000973,0.0,-8.111951561584618e-05,-0.00689,-0.00689,-0.0068088804843841,0.0065,0.0025,-8.111951561584618e-05,-0.09372445183346712
2016-03-31,-0.0069,0.0065,0.0025,1e-05,112.43,-0.000973,-0.0049561908133461,-8.111951561584618e-05,-0.00689,-0.006855851845296,-0.0067747323296801,0.0064677847597132,0.0024876095229666,-8.111951561584618e-05,0.03802440691471887
2016-03-31,-0.0011,0.0045,-0.0049,1e-05,112.43,-0.00094,0.0,-7.83671022263066e-05,-0.00109,-0.00109,-0.0010116328977736,0.0045,-0.0049,-7.83671022263066e-05,0.03802440691471887
2016-04-30,-0.0011,0.0045,-0.0049,1e-05,108.4,-0.00094,-0.0358445254825224,-7.83671022263066e-05,-0.00109,-0.001050929467224,-0.0009725623649977,0.0043386996353286,-0.0047243618251356,-7.83671022263066e-05,-0.004936091586082325
2016-04-30,-0.005,-0.0015,0.0036,0.0,108.4,-0.003851,0.0,-0.0003214844955055,-0.005,-0.005,-0.0046785155044944,-0.0015,0.0036,-0.0003214844955055,-0.004936091586082325
2016-05-31,-0.005,-0.0015,0.0036,0.0,111.14,-0.003851,0.0252767527675277,-0.0003214844955055,-0.005,-0.0051263837638376,-0.0048048992683321,-0.0015379151291512,0.003690996309963,-0.0003214844955055,0.02927902619847078
2016-05-31,-0.0001,0.0052,-0.0037,1e-05,111.14,-0.002937,0.0,-0.0002450800836326,-9e-05,-9e-05,0.0001550800836326,0.0052,-0.0037,-0.0002450800836326,0.02927902619847078
2016-06-30,-0.0001,0.0052,-0.0037,1e-05,102.7,-0.002937,-0.0759402555335612,-0.0002450800836326,-9e-05,-8.31653770019795e-05,0.0001619147066306,0.0048051106712254,-0.0034190210545258,-0.0002450800836326,-0.09710110001289884
2016-06-30,0.0141999999999999,0.0034999999999999,0.0042,1e-05,102.7,-0.002798,0.0,-0.0002334662191048,0.0142099999999999,0.0142099999999999,0.0144434662191048,0.0034999999999999,0.0042,-0.0002334662191048,-0.09710110001289884
2016-07-31,0.0141999999999999,0.0034999999999999,0.0042,1e-05,103.63,-0.002798,0.0090555014605646,-0.0002334662191048,0.0142099999999999,0.0143386786757546,0.0145721448948594,0.0035316942551119,0.0042380331061343,-0.0002334662191048,0.06174250474511589
2016-07-31,0.0017,-0.0005,0.0003,1e-05,103.63,-0.002944,0.0,-0.0002456649937602,0.00171,0.00171,0.0019556649937602,-0.0005,0.0003,-0.0002456649937602,0.06174250474511589
2016-08-31,0.0017,-0.0005,0.0003,1e-05,103.28,-0.002944,-0.003377400366689,-0.0002456649937602,0.00171,0.0017042246453729,0.0019498896391331,-0.0004983112998166,0.0002989867798899,-0.0002456649937602,0.0051408809579576165
2016-08-31,-0.0024,-0.0039,0.0015,1e-05,103.28,-0.0025169999999999,0.0,-0.0002099923626718,-0.0023899999999999,-0.0023899999999999,-0.0021800076373281,-0.0039,0.0015,-0.0002099923626718,0.0051408809579576165
